ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label
1533053152.47147,C9j6aT18B44EtlSzi5,192.168.100.113,123,147.231.100.5,123,udp,-,0.001745,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545404567.702166,CweAbk2auEHQL6GDh9,192.168.1.195,41100,185.244.25.235,80,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,benign,-
1545446327.457114,CYismp464C49ywGG93,192.168.1.195,123,195.113.144.201,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1545490199.460982,CHaaK34BEJ6uvSzdmc,192.168.1.195,60967,192.168.1.1,53,udp,dns,5.001395,78,0,S0,-,-,0,D,2,134,0,0,-,benign,-
1533057678.972399,CdLR1g2eZ8wJloBgZ8,192.168.100.113,34672,128.185.250.50,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533069989.477504,CCoN1t1We75POIFIng,192.168.100.113,123,31.31.74.35,123,udp,-,0.004995,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533072670.09473,C6yqrr3XD9OnuGzq62,192.168.100.113,44604,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533053085.471665,CMMZN81X992jlpIOMl,192.168.100.113,123,147.231.100.5,123,udp,-,0.001745,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545405022.822407,CYwSse00qXSUySYui,192.168.1.195,49172,185.244.25.235,6667,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1545466959.058205,CO4edk1LnfMAtrdZRd,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1545411586.631738,CNx8UI1ODD3B8w8AO1,192.168.1.195,123,37.187.104.44,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1533059380.475301,CJfiH34jqmb9fKAem6,192.168.100.113,123,147.231.100.5,123,udp,-,0.001998,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533121541.135327,C9jdsS3pSS8NZ0w1Pj,192.168.100.113,37864,128.185.250.50,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533103652.894413,CicJaG2NTDmxAFcuac,192.168.100.113,46152,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533069077.476767,C1Y6qZ18zhoRfalGW6,192.168.100.113,123,37.157.198.150,123,udp,-,0.004986,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545410834.516363,C96VMt3I5r1nZcTU7l,192.168.1.195,33269,192.168.1.1,53,udp,dns,5.004390,78,0,S0,-,-,0,D,2,134,0,0,-,benign,-
1545427341.532876,CSQUyELOzgpwh8Op2,192.168.1.195,123,81.2.248.189,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1533089813.474881,CjzUIn2Isrx65dxxX,192.168.100.113,123,147.231.100.5,123,udp,-,0.001736,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533113721.474177,C1RRhVXNptjmsVuS1,192.168.100.113,123,37.157.198.150,123,udp,-,0.004987,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545415606.339182,ClbqFB2URNMTaIH915,192.168.1.195,52208,185.244.25.235,6667,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533106880.254449,CwrUvw4pMGUvVHSd5a,192.168.100.113,46312,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1545466986.406081,CsytEq4zAWSq2MweVj,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1545466964.275232,C2Scfe2dMeISQYDjX4,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1533128506.174862,CH4qyQ1kqHl4im0Ire,192.168.100.113,38212,128.185.250.50,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533100958.687432,CaBO9H3SYO4gAbFWUk,192.168.100.113,36836,128.185.250.50,50,tcp,-,3.087745,0,0,S0,-,-,0,S,3,180,0,0,-,malicious,
1533113189.474153,CjEzAB2CSdwuLCOvX8,192.168.100.113,123,147.231.100.5,123,udp,-,0.001746,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545466959.213866,Cm7aJFsGRaLYeUSY,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1545412947.941108,C5lX2h1eBPvr8XEcX2,192.168.1.195,51414,185.244.25.235,6667,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533090035.640151,CgPe1m3qNwgjl7CsC,192.168.100.113,45472,178.128.185.250,50,tcp,-,3.094734,0,0,S0,-,-,0,S,3,180,0,0,-,malicious,
1533120553.854482,CAnGTe4S1hPxC4j5J2,192.168.100.113,46996,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533113711.474381,CfVrom4akbO8MC5m7a,192.168.100.113,123,147.231.100.5,123,udp,-,0.001481,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
